week,state,tv_spend,search_spend
2021-06-20,Alabama,5102.44,1391.79
2021-06-27,Alabama,5102.44,2480.21
2021-07-04,Alabama,6080.51,2733.54
2021-07-11,Alabama,6382.74,4930.16
2021-07-18,Alabama,6196.7,3821.05
2021-07-25,Alabama,6765.4,3301.28
2021-08-01,Alabama,5102.44,2431.52
2021-08-08,Alabama,5102.44,1275.61
2021-08-15,Alabama,5102.44,1275.61
2021-08-22,Alabama,5102.44,1275.61
2021-08-29,Alabama,5102.44,1477.37
2021-09-05,Alabama,5102.44,1275.61
2021-09-12,Alabama,5102.44,2938.01
2021-09-19,Alabama,5102.44,1303.89
2021-09-26,Alabama,5316.33,1275.61
2021-10-03,Alabama,5278.92,1846.65
2021-10-10,Alabama,5103.38,2270.25
2021-10-17,Alabama,5102.44,2417.68
2021-10-24,Alabama,5488.33,2157.05
2021-10-31,Alabama,5368.94,2830.95
2021-11-07,Alabama,5102.44,1275.61
2021-11-14,Alabama,5102.44,1275.61
2021-11-21,Alabama,6652.76,1477.98
2021-11-28,Alabama,9293.37,1684.04
2021-12-05,Alabama,11081.88,1275.61
2021-12-12,Alabama,11986.12,1275.61
2021-12-19,Alabama,13235.48,2279.34
2021-12-26,Alabama,15302.56,2034.13
2022-01-02,Alabama,14330.97,2660.26
2022-01-09,Alabama,13388.14,2494.34
2022-01-16,Alabama,13128.28,2955.27
2022-01-23,Alabama,11596.8,1514.68
2022-01-30,Alabama,9290.78,1275.61
2022-02-06,Alabama,9238.16,1275.61
2022-02-13,Alabama,10604.0,1275.61
2022-02-20,Alabama,8130.33,1839.91
2022-02-27,Alabama,6440.66,1275.61
2022-03-06,Alabama,5102.44,1275.61
2022-03-13,Alabama,5102.44,1275.61
2022-03-20,Alabama,5829.54,1275.61
2022-03-27,Alabama,5256.77,2535.04
2022-04-03,Alabama,5102.44,1626.57
2022-04-10,Alabama,5102.44,1275.61
2022-04-17,Alabama,5102.44,1663.37
2022-04-24,Alabama,5102.44,1275.61
2022-05-01,Alabama,5102.44,1678.04
2022-05-08,Alabama,5102.44,1703.28
2022-05-15,Alabama,5102.44,1588.01
2022-05-22,Alabama,5102.44,1275.61
2022-05-29,Alabama,5395.33,1291.42
2022-06-05,Alabama,5407.54,2164.0
2022-06-12,Alabama,5102.44,1467.72
2022-06-19,Alabama,5102.44,2524.18
2022-06-26,Alabama,5102.44,1275.61
2022-07-03,Alabama,6163.86,1275.61
2022-07-10,Alabama,5102.44,1577.77
2022-07-17,Alabama,5567.78,2835.38
2022-07-24,Alabama,5164.54,1997.01
2022-07-31,Alabama,5102.44,1853.99
2022-08-07,Alabama,5102.44,1275.61
2022-08-14,Alabama,5102.44,1275.61
2022-08-21,Alabama,5102.44,1275.61
2022-08-28,Alabama,5102.44,2607.81
2022-09-04,Alabama,5102.44,1353.08
2022-09-11,Alabama,5102.44,2258.06
2022-09-18,Alabama,6073.79,1527.04
2022-09-25,Alabama,6239.8,1275.61
2022-10-02,Alabama,5102.44,1275.61
2022-10-09,Alabama,5257.96,1275.61
2022-10-16,Alabama,5102.44,1700.23
2022-10-23,Alabama,5159.52,1340.58
2022-10-30,Alabama,5575.74,1329.17
2022-11-06,Alabama,5102.44,1275.61
2022-11-13,Alabama,5102.44,2496.92
2022-11-20,Alabama,6186.22,1937.89
2022-11-27,Alabama,8135.18,1275.61
2022-12-04,Alabama,8519.78,1275.61
2022-12-11,Alabama,11060.56,1275.61
2022-12-18,Alabama,12342.27,1275.61
2022-12-25,Alabama,13635.83,1349.21
2023-01-01,Alabama,12611.36,1933.87
2023-01-08,Alabama,11039.24,2273.51
2023-01-15,Alabama,10195.69,1275.61
2023-01-22,Alabama,9653.65,1275.61
2023-01-29,Alabama,8733.77,1275.61
2023-02-05,Alabama,8239.63,1920.0
2023-02-12,Alabama,8263.28,1275.61
2023-02-19,Alabama,5861.51,1275.61
2023-02-26,Alabama,5102.44,1275.61
2023-03-05,Alabama,5102.44,1275.61
2023-03-12,Alabama,5102.44,1275.61
2023-03-19,Alabama,5102.44,2688.86
2023-03-26,Alabama,5102.44,3335.42
2023-04-02,Alabama,6535.65,2812.15
2023-04-09,Alabama,6411.01,3414.82
2023-04-16,Alabama,5165.39,2560.65
2023-04-23,Alabama,5102.44,3898.56
2023-04-30,Alabama,5102.44,2343.61
2023-05-07,Alabama,5102.44,1275.61
2023-05-14,Alabama,5143.7,2237.26
2023-05-21,Alabama,5102.44,2042.71
2023-05-28,Alabama,5102.44,1275.61
2023-06-04,Alabama,5744.35,1352.64
2023-06-11,Alabama,5102.44,1275.61
2023-06-18,Alabama,5102.44,2660.07
2023-06-25,Alabama,5102.44,2456.1
2023-07-02,Alabama,5102.44,2468.96
2023-07-09,Alabama,5678.23,1275.61
2023-07-16,Alabama,5751.95,1716.56
2023-07-23,Alabama,5403.96,1690.9
2023-07-30,Alabama,5102.44,1275.61
2023-08-06,Alabama,5102.44,1275.61
2023-08-13,Alabama,5102.44,1275.61
2023-08-20,Alabama,5102.44,1275.61
2023-08-27,Alabama,5102.44,1275.61
2023-09-03,Alabama,5382.22,1429.48
2023-09-10,Alabama,5271.44,2338.97
2023-09-17,Alabama,5167.45,2014.53
2023-09-24,Alabama,5238.74,1275.61
2023-10-01,Alabama,5102.44,2006.53
2023-10-08,Alabama,5102.44,1275.61
2023-10-15,Alabama,5114.31,1275.61
2023-10-22,Alabama,5102.44,1275.61
2023-10-29,Alabama,5319.91,1412.62
2023-11-05,Alabama,5102.44,1275.61
2023-11-12,Alabama,5102.44,1552.61
2023-11-19,Alabama,6804.75,2277.25
2023-11-26,Alabama,7366.52,2001.56
2023-12-03,Alabama,7121.28,1502.14
2023-12-10,Alabama,8802.4,1758.61
2023-12-17,Alabama,8864.29,2873.1
2023-12-24,Alabama,9748.8,1448.38
2023-12-31,Alabama,12343.63,1275.61
2020-01-12,Alaska,4316.47,2704.67
2020-01-19,Alaska,3936.7,2074.11
2020-01-26,Alaska,3666.0,2320.91
2020-02-02,Alaska,3787.11,1756.35
2020-02-09,Alaska,3786.79,952.74
2020-02-16,Alaska,2624.47,724.04
2020-02-23,Alaska,2334.4,594.56
2020-03-01,Alaska,2334.4,912.19
2020-03-08,Alaska,2334.4,583.6
2020-03-15,Alaska,2334.4,636.01
2020-03-22,Alaska,2417.0,968.0
2020-03-29,Alaska,2774.76,997.28
2020-04-05,Alaska,2591.96,667.9
2020-04-12,Alaska,2381.22,683.2
2020-04-19,Alaska,2334.4,649.51
2020-04-26,Alaska,2334.4,1433.19
2020-05-03,Alaska,2334.4,1331.4
2020-05-10,Alaska,2334.4,1460.69
2020-05-17,Alaska,2334.4,1944.09
2020-05-24,Alaska,2334.4,1717.31
2020-05-31,Alaska,2336.87,1602.04
2020-06-07,Alaska,2334.4,1162.76
2020-06-14,Alaska,2334.4,698.83
2020-06-21,Alaska,2334.4,987.57
2020-06-28,Alaska,2334.4,583.6
2020-07-05,Alaska,2334.4,583.6
2020-07-12,Alaska,2334.4,665.63
2020-07-19,Alaska,2680.23,583.6
2020-07-26,Alaska,2529.58,583.6
2020-08-02,Alaska,2334.4,583.6
2020-08-09,Alaska,2334.4,583.6
2020-08-16,Alaska,2334.4,958.46
2020-08-23,Alaska,2334.4,1141.91
2020-08-30,Alaska,2334.4,1793.24
2020-09-06,Alaska,2334.4,1303.58
2020-09-13,Alaska,2334.4,1190.67
2020-09-20,Alaska,2334.4,1748.04
2020-09-27,Alaska,2717.05,1662.66
2020-10-04,Alaska,2571.53,895.26
2020-10-11,Alaska,2609.83,1196.66
2020-10-18,Alaska,2334.4,1532.23
2020-10-25,Alaska,2334.4,583.6
2020-11-01,Alaska,2615.4,583.6
2020-11-08,Alaska,2334.4,583.6
2020-11-15,Alaska,2638.45,583.6
2020-11-22,Alaska,2670.83,583.6
2020-11-29,Alaska,2849.03,583.6
2020-12-06,Alaska,3173.52,583.6
2020-12-13,Alaska,3425.68,795.9
2020-12-20,Alaska,3580.04,583.6
2020-12-27,Alaska,3882.52,583.6
2021-01-03,Alaska,3384.61,583.6
2021-01-10,Alaska,3012.96,598.78
2021-01-17,Alaska,2677.72,892.3
2021-01-24,Alaska,2334.4,733.3
2021-01-31,Alaska,2334.4,583.6
2021-02-07,Alaska,2334.4,583.6
2021-02-14,Alaska,2334.4,583.6
2021-02-21,Alaska,2334.4,583.6
2021-02-28,Alaska,2334.4,583.6
2021-03-07,Alaska,2334.4,583.6
2021-03-14,Alaska,2334.4,666.07
2021-03-21,Alaska,2334.4,620.64
2021-03-28,Alaska,2334.4,769.84
2021-04-04,Alaska,2855.83,901.49
2021-04-11,Alaska,3131.49,1072.28
2021-04-18,Alaska,2334.4,790.89
2021-04-25,Alaska,2334.4,664.59
2021-05-02,Alaska,2334.4,670.96
2021-05-09,Alaska,2334.4,812.84
2021-05-16,Alaska,2334.4,1422.87
2021-05-23,Alaska,2334.4,1029.57
2021-05-30,Alaska,2334.4,583.6
2021-06-06,Alaska,2334.4,910.84
2021-06-13,Alaska,2334.4,844.99
2021-06-20,Alaska,2334.4,1031.99
2021-06-27,Alaska,2334.4,583.6
2021-07-04,Alaska,2351.66,957.85
2021-07-11,Alaska,2552.54,583.6
2021-07-18,Alaska,2334.4,729.47
2021-07-25,Alaska,2412.88,758.19
2021-08-01,Alaska,2334.4,583.6
2021-08-08,Alaska,2334.4,1100.17
2021-08-15,Alaska,2334.4,1120.67
2021-08-22,Alaska,2334.4,621.49
2021-08-29,Alaska,2334.4,678.03
2021-09-05,Alaska,2933.66,1228.65
2021-09-12,Alaska,2426.94,583.6
2021-09-19,Alaska,2334.4,872.44
2021-09-26,Alaska,2715.45,583.6
2021-10-03,Alaska,2334.4,1524.26
2021-10-10,Alaska,2358.1,980.84
2021-10-17,Alaska,2334.4,986.01
2021-10-24,Alaska,2334.4,583.6
2021-10-31,Alaska,2334.4,583.6
2021-11-07,Alaska,2334.4,640.42
2021-11-14,Alaska,2334.4,583.6
2021-11-21,Alaska,2427.96,583.6
2021-11-28,Alaska,2334.4,583.6
2021-12-05,Alaska,2890.51,583.6
2021-12-12,Alaska,2961.35,583.6
2021-12-19,Alaska,3427.06,1173.91
2021-12-26,Alaska,3824.88,583.6
2022-01-02,Alaska,3087.54,583.6
2022-01-09,Alaska,3159.93,583.6
2022-01-16,Alaska,2941.85,674.86
2022-01-23,Alaska,2672.65,633.26
2022-01-30,Alaska,2804.15,583.6
2022-02-06,Alaska,2336.9,926.23
2022-02-13,Alaska,2334.4,1018.8
2022-02-20,Alaska,2334.4,662.32
2022-02-27,Alaska,2334.4,583.6
2022-03-06,Alaska,2334.4,661.69
2022-03-13,Alaska,2334.4,779.29
2022-03-20,Alaska,2334.4,1201.13
2022-03-27,Alaska,2334.4,1570.04
2022-04-03,Alaska,2334.4,1749.49
2022-04-10,Alaska,2694.98,1444.19
2022-04-17,Alaska,2334.4,862.73
2022-04-24,Alaska,2334.4,1112.85
2022-05-01,Alaska,2334.4,1277.62
2022-05-08,Alaska,2334.4,1438.17
2022-05-15,Alaska,2334.4,1212.24
2022-05-22,Alaska,2334.4,1100.84
2022-05-29,Alaska,2334.4,1413.91
2022-06-05,Alaska,2334.4,1404.35
2022-06-12,Alaska,2334.4,1606.34
2022-06-19,Alaska,2334.4,583.6
2022-06-26,Alaska,2334.4,583.6
2022-07-03,Alaska,2435.26,583.6
2022-07-10,Alaska,2334.4,583.6
2022-07-17,Alaska,2540.06,913.63
2022-07-24,Alaska,2914.65,912.74
2022-07-31,Alaska,2543.28,583.6
2022-08-07,Alaska,2334.4,942.9
2022-08-14,Alaska,2334.4,1125.6
2022-08-21,Alaska,2334.4,1186.69
2022-08-28,Alaska,2334.4,2283.6
2022-09-04,Alaska,2593.81,2478.37
2022-09-11,Alaska,2706.42,2775.91
2022-09-18,Alaska,3089.38,2273.46
2022-09-25,Alaska,2530.13,1697.73
2022-10-02,Alaska,2334.4,1207.42
2022-10-09,Alaska,2334.4,1374.56
2022-10-16,Alaska,2334.4,1533.49
2022-10-23,Alaska,2334.4,2061.59
2022-10-30,Alaska,2491.63,1216.71
2022-11-06,Alaska,2334.4,861.87
2022-11-13,Alaska,2334.4,583.6
2022-11-20,Alaska,2461.71,779.37
2022-11-27,Alaska,2585.87,1212.23
2022-12-04,Alaska,2785.53,1081.79
2022-12-11,Alaska,2856.44,1138.33
2022-12-18,Alaska,3049.71,818.35
2022-12-25,Alaska,3075.03,583.6
2023-01-01,Alaska,3064.08,583.6
2023-01-08,Alaska,2635.76,755.08
2023-01-15,Alaska,2334.4,583.6
2023-01-22,Alaska,2334.4,583.6
2023-01-29,Alaska,2334.4,951.46
2023-02-05,Alaska,2334.4,1058.81
2023-02-12,Alaska,2480.11,1112.1
2023-02-19,Alaska,2549.45,699.27
2023-02-26,Alaska,2334.4,1354.31
2023-03-05,Alaska,2334.4,1212.98
2023-03-12,Alaska,2334.4,1788.35
2023-03-19,Alaska,2722.31,2686.4
2023-03-26,Alaska,2683.71,2710.88
2023-04-02,Alaska,2603.54,2122.54
2023-04-09,Alaska,2334.4,1884.15
2023-04-16,Alaska,2334.4,1969.79
2023-04-23,Alaska,2334.4,2634.01
2023-04-30,Alaska,2334.4,2243.49
2023-05-07,Alaska,2334.4,1959.21
2023-05-14,Alaska,2334.4,2035.26
2023-05-21,Alaska,2334.4,2172.92
2023-05-28,Alaska,2334.4,1137.32
2023-06-04,Alaska,2334.4,790.75
2023-06-11,Alaska,2334.4,583.6
2023-06-18,Alaska,2334.4,1582.43
2023-06-25,Alaska,2334.4,801.85
2023-07-02,Alaska,2334.4,1122.82
2023-07-09,Alaska,2456.73,583.6
2023-07-16,Alaska,2506.03,583.6
2023-07-23,Alaska,2877.89,583.6
2023-07-30,Alaska,2786.29,682.81
2023-08-06,Alaska,2334.4,1225.09
2023-08-13,Alaska,2334.4,1153.45
2023-08-20,Alaska,2334.4,1262.87
2023-08-27,Alaska,2334.4,1019.54
2023-09-03,Alaska,2334.4,1080.24
2023-09-10,Alaska,2891.95,985.67
2023-09-17,Alaska,2692.78,583.6
2023-09-24,Alaska,2744.03,583.6
2023-10-01,Alaska,2578.74,739.87
2023-10-08,Alaska,2334.4,583.6
2023-10-15,Alaska,2334.4,583.6
2023-10-22,Alaska,2334.4,583.6
2023-10-29,Alaska,2730.68,1178.6
2023-11-05,Alaska,2820.59,616.49
2023-11-12,Alaska,2334.4,837.38
2023-11-19,Alaska,2334.4,635.11
2023-11-26,Alaska,2558.32,583.6
2023-12-03,Alaska,2348.8,583.6
2023-12-10,Alaska,2334.4,583.6
2023-12-17,Alaska,2724.68,583.6
2023-12-24,Alaska,2647.62,620.92
2023-12-31,Alaska,2427.21,583.6
2020-01-12,Arizona,13584.19,4075.7
2020-01-19,Arizona,12727.79,4342.57
2020-01-26,Arizona,11946.06,3754.3
2020-02-02,Arizona,14006.21,3858.28
2020-02-09,Arizona,15914.15,1409.24
2020-02-16,Arizona,14109.9,1409.24
2020-02-23,Arizona,10968.89,1494.42
2020-03-01,Arizona,8571.92,2219.88
2020-03-08,Arizona,7053.74,1409.24
2020-03-15,Arizona,7077.0,1602.76
2020-03-22,Arizona,7455.5,1409.24
2020-03-29,Arizona,7139.24,1409.24
2020-04-05,Arizona,7595.87,1648.12
2020-04-12,Arizona,7554.07,3174.07
2020-04-19,Arizona,7333.88,2836.0
2020-04-26,Arizona,6189.46,5076.01
2020-05-03,Arizona,5636.97,4235.18
2020-05-10,Arizona,5636.97,4878.96
2020-05-17,Arizona,5636.97,1883.64
2020-05-24,Arizona,5636.97,1834.92
2020-05-31,Arizona,5873.28,1409.24
2020-06-07,Arizona,5636.97,2004.4
2020-06-14,Arizona,5636.97,1409.24
2020-06-21,Arizona,5636.97,1528.95
2020-06-28,Arizona,5636.97,3827.26
2020-07-05,Arizona,6090.96,3319.58
2020-07-12,Arizona,5883.3,4110.11
2020-07-19,Arizona,6521.89,2866.32
2020-07-26,Arizona,5636.97,2284.34
2020-08-02,Arizona,5636.97,1520.27
2020-08-09,Arizona,5636.97,2942.17
2020-08-16,Arizona,5636.97,1469.48
2020-08-23,Arizona,5636.97,1684.71
2020-08-30,Arizona,5636.97,2305.52
2020-09-06,Arizona,6197.0,1420.86
2020-09-13,Arizona,5636.97,2235.18
2020-09-20,Arizona,6425.61,3414.95
2020-09-27,Arizona,6779.38,3126.44
2020-10-04,Arizona,5636.97,2314.02
2020-10-11,Arizona,5636.97,2226.23
2020-10-18,Arizona,5915.48,1879.76
2020-10-25,Arizona,5636.97,1706.1
2020-11-01,Arizona,6216.29,1883.24
2020-11-08,Arizona,5636.97,2021.8
2020-11-15,Arizona,5902.95,2087.79
2020-11-22,Arizona,6714.99,2614.25
2020-11-29,Arizona,7253.52,4745.2
2020-12-06,Arizona,9159.28,2830.92
2020-12-13,Arizona,11049.79,1763.27
2020-12-20,Arizona,11901.18,3474.56
2020-12-27,Arizona,14664.46,4079.74
2021-01-03,Arizona,14399.74,2400.21
2021-01-10,Arizona,13272.62,1409.24
2021-01-17,Arizona,12419.89,2888.4
2021-01-24,Arizona,11375.07,2564.33
2021-01-31,Arizona,11055.02,1573.69
2021-02-07,Arizona,10786.83,1409.24
2021-02-14,Arizona,11713.71,2014.77
2021-02-21,Arizona,9843.97,1409.24
2021-02-28,Arizona,8737.39,2877.68
2021-03-07,Arizona,6751.84,3589.09
2021-03-14,Arizona,6505.18,2213.12
2021-03-21,Arizona,7362.96,2699.39
2021-03-28,Arizona,6632.76,3708.65
2021-04-04,Arizona,6415.78,2823.07
2021-04-11,Arizona,7018.11,1538.43
2021-04-18,Arizona,6386.19,1409.24
2021-04-25,Arizona,5935.74,1549.92
2021-05-02,Arizona,5636.97,2526.36
2021-05-09,Arizona,5636.97,1409.24
2021-05-16,Arizona,5636.97,1409.24
2021-05-23,Arizona,5636.97,1409.24
2021-05-30,Arizona,5636.97,1409.24
2021-06-06,Arizona,5636.97,3128.92
2021-06-13,Arizona,5636.97,2984.25
2021-06-20,Arizona,5636.97,2421.2
2021-06-27,Arizona,5636.97,1409.24
2021-07-04,Arizona,5636.97,1409.24
2021-07-11,Arizona,5928.67,1824.85
2021-07-18,Arizona,6395.45,3394.49
2021-07-25,Arizona,6741.93,2739.47
2021-08-01,Arizona,5636.97,1937.93
2021-08-08,Arizona,5636.97,1731.57
2021-08-15,Arizona,5636.97,2477.61
2021-08-22,Arizona,5636.97,1411.62
2021-08-29,Arizona,5636.97,3333.78
2021-09-05,Arizona,6788.35,3633.08
2021-09-12,Arizona,6882.66,3388.33
2021-09-19,Arizona,7661.29,3480.84
2021-09-26,Arizona,9196.11,1409.24
2021-10-03,Arizona,10395.49,1563.83
2021-10-10,Arizona,10561.46,1409.24
2021-10-17,Arizona,9794.15,1409.24
2021-10-24,Arizona,9694.42,1409.24
2021-10-31,Arizona,9003.97,1409.24
2021-11-07,Arizona,8038.09,2331.1
2021-11-14,Arizona,6774.6,2987.25
2021-11-21,Arizona,7295.85,1409.24
2021-11-28,Arizona,10455.15,1409.24
2021-12-05,Arizona,11862.07,1409.24
2021-12-12,Arizona,14249.12,1409.24
2021-12-19,Arizona,17793.0,1445.77
2021-12-26,Arizona,20277.17,1686.15
2022-01-02,Arizona,19537.51,1780.66
2022-01-09,Arizona,17147.86,2029.53
2022-01-16,Arizona,16815.5,1409.24
2022-01-23,Arizona,16125.17,1409.24
2022-01-30,Arizona,15076.04,1766.97
2022-02-06,Arizona,17211.27,1800.95
2022-02-13,Arizona,18717.19,3247.29
2022-02-20,Arizona,15072.6,1477.26
2022-02-27,Arizona,13076.52,1874.27
2022-03-06,Arizona,10749.89,2221.1
2022-03-13,Arizona,8229.94,3071.8
2022-03-20,Arizona,8497.22,4422.36
2022-03-27,Arizona,8495.19,3971.03
2022-04-03,Arizona,8558.39,3654.97
2022-04-10,Arizona,7890.84,1762.67
2022-04-17,Arizona,5750.57,1409.24
2022-04-24,Arizona,5636.97,1825.05
2022-05-01,Arizona,5636.97,1409.24
2022-05-08,Arizona,5636.97,1409.24
2022-05-15,Arizona,5636.97,1707.1
2022-05-22,Arizona,5636.97,2813.83
2022-05-29,Arizona,5636.97,1409.24
2022-06-05,Arizona,6254.5,1409.24
2022-06-12,Arizona,5636.97,1409.24
2022-06-19,Arizona,5636.97,1409.24
2022-06-26,Arizona,5636.97,1755.01
2022-07-03,Arizona,5682.91,2275.61
2022-07-10,Arizona,5654.52,2684.52
2022-07-17,Arizona,5636.97,2818.23
2022-07-24,Arizona,5697.32,3388.44
2022-07-31,Arizona,5636.97,4188.93
2022-08-07,Arizona,5636.97,3348.38
2022-08-14,Arizona,5636.97,2181.12
2022-08-21,Arizona,5636.97,1409.24
2022-08-28,Arizona,5636.97,2184.94
2022-09-04,Arizona,6467.45,1462.38
2022-09-11,Arizona,5793.02,1409.24
2022-09-18,Arizona,7237.28,1409.24
2022-09-25,Arizona,7495.57,3213.58
2022-10-02,Arizona,7282.42,2147.62
2022-10-09,Arizona,6841.32,2771.55
2022-10-16,Arizona,7131.05,3127.42
2022-10-23,Arizona,7354.61,3626.15
2022-10-30,Arizona,7992.92,3850.93
2022-11-06,Arizona,7083.92,4002.01
2022-11-13,Arizona,5788.66,3137.71
2022-11-20,Arizona,6027.86,2893.46
2022-11-27,Arizona,6817.17,1409.24
2022-12-04,Arizona,9056.33,2724.11
2022-12-11,Arizona,10282.53,2290.24
2022-12-18,Arizona,12876.55,2466.5
2022-12-25,Arizona,14725.15,1641.31
2023-01-01,Arizona,13854.07,1409.24
2023-01-08,Arizona,14333.39,1409.24
2023-01-15,Arizona,13662.52,2431.62
2023-01-22,Arizona,12787.5,1913.07
2023-01-29,Arizona,13330.03,3525.78
2023-02-05,Arizona,14470.15,4772.03
2023-02-12,Arizona,15720.42,2622.48
2023-02-19,Arizona,13733.83,2096.19
2023-02-26,Arizona,11159.22,2273.75
2023-03-05,Arizona,9142.34,3077.47
2023-03-12,Arizona,7934.38,3084.78
2023-03-19,Arizona,8338.61,2273.23
2023-03-26,Arizona,6961.76,1409.24
2023-04-02,Arizona,7364.14,1409.24
2023-04-09,Arizona,7396.81,1409.24
2023-04-16,Arizona,7173.24,1409.24
2023-04-23,Arizona,6594.42,1409.24
2023-04-30,Arizona,5636.97,1409.24
2023-05-07,Arizona,5636.97,1409.24
2023-05-14,Arizona,5675.6,2028.57
2023-05-21,Arizona,5636.97,2908.15
2023-05-28,Arizona,6012.7,1491.53
2023-06-04,Arizona,7295.89,3257.04
2023-06-11,Arizona,7007.33,3820.38
2023-06-18,Arizona,6043.53,4661.37
2023-06-25,Arizona,5636.97,2770.87
2023-07-02,Arizona,6097.56,2668.63
2023-07-09,Arizona,5636.97,2297.83
2023-07-16,Arizona,6831.36,1409.24
2023-07-23,Arizona,6531.97,1409.24
2023-07-30,Arizona,8661.02,1409.24
2023-08-06,Arizona,6010.71,3471.04
2023-08-13,Arizona,5636.97,4694.31
2023-08-20,Arizona,5636.97,4949.44
2023-08-27,Arizona,5636.97,4481.58
2023-09-03,Arizona,5636.97,4156.92
2023-09-10,Arizona,6332.8,4107.09
2023-09-17,Arizona,7486.32,3672.74
2023-09-24,Arizona,7567.3,3087.96
2023-10-01,Arizona,7660.87,3584.42
2023-10-08,Arizona,7932.29,4665.92
2023-10-15,Arizona,7907.65,4854.69
2023-10-22,Arizona,8129.79,2981.08
2023-10-29,Arizona,9027.56,1419.6
2023-11-05,Arizona,9420.93,1409.24
2023-11-12,Arizona,8611.37,1409.24
2023-11-19,Arizona,10030.77,2676.36
2023-11-26,Arizona,11583.71,2352.51
2023-12-03,Arizona,13672.62,1653.57
2023-12-10,Arizona,16811.4,1409.24
2023-12-17,Arizona,18626.18,1409.24
2023-12-24,Arizona,22159.21,1409.24
2023-12-31,Arizona,25769.12,1717.51
2020-01-12,Arkansas,9004.85,4043.12
2020-01-19,Arkansas,8888.17,6570.62
2020-01-26,Arkansas,8251.41,5497.66
2020-02-02,Arkansas,9043.61,4325.16
2020-02-09,Arkansas,9304.77,4704.2
2020-02-16,Arkansas,7951.77,3312.73
2020-02-23,Arkansas,5717.76,2374.01
2020-03-01,Arkansas,4452.7,1093.79
2020-03-08,Arkansas,4375.18,2316.28
2020-03-15,Arkansas,4375.18,1801.82
2020-03-22,Arkansas,4375.18,1484.2
2020-03-29,Arkansas,4375.18,1093.79
2020-04-05,Arkansas,4883.03,1093.79
2020-04-12,Arkansas,5222.22,1093.79
2020-04-19,Arkansas,4927.87,1093.79
2020-04-26,Arkansas,4375.18,1093.79
