week,state,avg_temp,avg_employment,tv_spend,search_spend,y
2022-03-06,New Jersey,45.0,0.99,7013.62,1488.86,47516.52
2022-03-13,New Jersey,49.0,0.99,5955.45,1488.86,47423.85
2022-03-20,New Jersey,48.5,0.99,6053.22,1488.86,47482.66
2022-03-27,New Jersey,40.7,0.99,7748.42,1697.7,47575.22
2022-04-03,New Jersey,47.5,0.99,7399.59,1488.86,47553.67
2022-04-10,New Jersey,56.6,0.99,7163.23,2476.14,47507.11
2022-04-17,New Jersey,48.5,0.99,6782.79,2111.81,47479.97
2022-04-24,New Jersey,51.1,0.99,5955.45,2467.01,47441.52
2022-05-01,New Jersey,55.4,0.99,5955.45,1488.86,47495.62
2022-05-08,New Jersey,57.6,0.99,5955.45,1679.82,47291.39
2022-05-15,New Jersey,67.0,0.99,5955.45,1488.86,47385.33
2022-05-22,New Jersey,66.7,0.99,6516.34,3347.48,47278.59
2022-05-29,New Jersey,72.3,0.99,5955.45,3540.91,47241.63
2022-06-05,New Jersey,70.4,0.99,5955.45,1488.86,47214.86
2022-06-12,New Jersey,72.6,0.99,5955.45,1683.34,47231.18
2022-06-19,New Jersey,69.7,0.99,5955.45,1768.71,47324.94
2022-06-26,New Jersey,77.5,0.99,5955.45,1488.86,47255.78
2022-07-03,New Jersey,77.2,0.99,7168.95,2127.43,47260.0
2022-07-10,New Jersey,77.7,0.99,6799.72,2286.17,47253.12
2022-07-17,New Jersey,83.6,0.99,7347.79,2465.16,47149.65
2022-07-24,New Jersey,81.1,0.99,9022.99,3187.84,47210.2
2022-07-31,New Jersey,79.9,0.99,9706.15,3094.16,47251.21
2022-08-07,New Jersey,81.3,0.99,7720.74,2195.28,47282.35
2022-08-14,New Jersey,75.4,0.99,6535.87,1784.98,47300.54
2022-08-21,New Jersey,77.2,0.99,5955.45,1488.86,47323.32
2022-08-28,New Jersey,75.7,0.99,5955.45,1488.86,47295.23
2022-09-04,New Jersey,72.3,0.99,5955.45,1488.86,47283.87
2022-09-11,New Jersey,69.6,0.99,5955.45,1488.86,47400.28
2022-09-18,New Jersey,67.3,0.99,7696.61,2626.0,47313.06
2022-09-25,New Jersey,61.0,0.99,8700.19,1784.54,47309.81
2022-10-02,New Jersey,55.3,0.99,9470.27,2215.25,47465.12
2022-10-09,New Jersey,57.2,0.99,9251.76,1488.86,47423.91
2022-10-16,New Jersey,51.7,0.99,7686.02,3158.87,47506.62
2022-10-23,New Jersey,56.5,0.99,7194.12,2108.56,47391.5
2022-10-30,New Jersey,57.4,0.99,6133.96,2683.46,47457.81
2022-11-06,New Jersey,59.2,0.99,5955.45,1488.86,47340.92
2022-11-13,New Jersey,40.3,0.99,5955.45,2702.65,47604.37
2022-11-20,New Jersey,39.6,0.99,6645.31,2222.42,47572.45
2022-11-27,New Jersey,43.2,0.99,8450.54,2192.87,47490.01
2022-12-04,New Jersey,42.0,0.99,9731.94,1488.86,47613.05
2022-12-11,New Jersey,36.3,0.99,10377.37,1488.86,47499.3
2022-12-18,New Jersey,30.1,0.99,11279.72,4013.91,47520.67
2022-12-25,New Jersey,33.4,0.99,12624.52,4362.54,47586.6
2023-01-01,New Jersey,49.6,0.99,12141.77,1937.76,47453.21
2023-01-08,New Jersey,38.6,0.99,11877.25,2162.48,47525.43
2023-01-15,New Jersey,38.4,0.99,11415.04,1488.86,47491.56
2023-01-22,New Jersey,37.9,0.99,11611.1,2172.83,47514.59
2023-01-29,New Jersey,32.8,0.99,10670.58,1488.86,47502.19
2023-02-05,New Jersey,41.4,0.99,10859.53,1488.86,47397.55
2023-02-12,New Jersey,45.3,0.99,12715.52,1488.86,47380.21
2023-02-19,New Jersey,40.7,0.99,10084.45,2003.31,47418.96
2023-02-26,New Jersey,39.3,0.99,8292.99,1488.86,47479.29
2023-03-05,New Jersey,39.9,0.99,6898.24,1667.99,47430.54
2023-03-12,New Jersey,41.1,0.99,5955.45,2616.45,47520.17
2023-03-19,New Jersey,44.1,0.99,6245.03,2651.28,47500.79
2023-03-26,New Jersey,46.5,0.99,6262.57,1798.01,47519.83
2023-04-02,New Jersey,53.1,0.99,7396.66,1488.86,47483.94
2023-04-09,New Jersey,61.1,0.99,8062.42,1488.86,47293.76
2023-04-16,New Jersey,57.1,0.99,7574.13,2164.67,47396.82
2023-04-23,New Jersey,51.9,0.99,6468.19,2433.68,47463.49
2023-04-30,New Jersey,51.6,0.99,7203.5,1488.86,47452.12
2023-05-07,New Jersey,64.0,0.99,5955.45,1994.23,47360.45
2023-05-14,New Jersey,61.7,0.99,5955.45,3897.93,47361.27
2023-05-21,New Jersey,62.7,0.99,5955.45,2904.09,47398.39
2023-05-28,New Jersey,67.0,0.99,6566.23,4551.11,47295.78
2023-06-04,New Jersey,65.3,0.99,6729.44,3211.83,47270.7
2023-06-11,New Jersey,69.5,0.99,6014.96,4364.43,47177.05
2023-06-18,New Jersey,68.7,0.99,5955.45,5393.41,47201.48
2023-06-25,New Jersey,72.9,0.99,5955.45,6624.02,47278.81
2023-07-02,New Jersey,78.4,0.99,6160.78,6896.2,47281.12
2023-07-09,New Jersey,77.7,0.99,6768.58,5774.9,47326.85
2023-07-16,New Jersey,76.0,0.99,7866.32,5911.76,47236.11
2023-07-23,New Jersey,78.5,0.99,5955.45,4637.92,47256.45
2023-07-30,New Jersey,72.6,0.99,8079.24,6918.52,47333.59
2023-08-06,New Jersey,74.8,0.99,5955.45,6536.47,47409.48
2023-08-13,New Jersey,75.2,0.99,5955.45,5957.47,47305.49
2023-08-20,New Jersey,73.9,0.99,5955.45,4791.36,47376.95
2023-08-27,New Jersey,71.4,0.99,5955.45,4276.63,47312.56
2023-09-03,New Jersey,79.5,0.99,6199.89,3565.25,47288.6
2023-09-10,New Jersey,69.5,0.99,6197.77,1748.69,47339.53
2023-09-17,New Jersey,63.4,0.99,6301.07,1488.86,47328.69
2023-09-24,New Jersey,60.6,0.99,6244.83,1765.31,47283.09
2023-10-01,New Jersey,66.8,0.99,5955.45,2437.56,47276.09
2023-10-08,New Jersey,54.8,0.99,5955.45,2051.73,47456.02
2023-10-15,New Jersey,55.1,0.99,5955.45,1817.74,47434.72
2023-10-22,New Jersey,58.3,0.99,5955.45,3095.42,47362.67
2023-10-29,New Jersey,48.1,0.99,5955.45,3018.54,47458.89
2023-11-05,New Jersey,49.5,0.99,5955.45,2800.23,47397.44
2023-11-12,New Jersey,45.0,0.99,5955.45,1488.86,47603.23
2023-11-19,New Jersey,42.5,0.99,6501.48,1488.86,47603.15
2023-11-26,New Jersey,39.4,0.99,7817.05,3246.66,47578.52
2023-12-03,New Jersey,40.8,0.99,8760.66,4105.67,47581.18
2023-12-10,New Jersey,40.9,0.99,8768.62,4993.16,47449.76
2023-12-17,New Jersey,39.2,0.99,10682.05,4384.62,47526.9
2023-12-24,New Jersey,44.4,0.99,12287.19,1974.28,47555.75
2023-12-31,New Jersey,38.1,0.99,15344.92,1500.78,47555.86
2020-01-12,Connecticut,36.3,0.9136,9204.52,8123.85,38492.95
2020-01-19,Connecticut,29.1,0.9161,8218.24,7476.05,38506.6
2020-01-26,Connecticut,33.4,0.9143,7388.79,6579.06,38496.76
2020-02-02,Connecticut,36.2,0.9226,6997.03,5970.41,38424.76
2020-02-09,Connecticut,32.5,0.9237,6871.44,6217.83,38382.18
2020-02-16,Connecticut,32.0,0.9211,4610.14,4726.19,38472.79
2020-02-23,Connecticut,38.4,0.9223,4610.14,6060.78,38465.5
2020-03-01,Connecticut,39.4,0.9305,4610.14,4550.09,38527.4
2020-03-08,Connecticut,46.6,0.9208,4610.14,3710.83,38360.07
2020-03-15,Connecticut,42.3,0.9207,4837.21,4684.55,38481.92
2020-03-22,Connecticut,40.0,0.9266,4610.14,5986.46,38532.15
2020-03-29,Connecticut,43.8,0.9305,5172.81,8810.3,38478.08
2020-04-05,Connecticut,47.1,0.9252,5042.59,8030.45,38538.72
2020-04-12,Connecticut,44.7,0.9313,5034.84,6383.92,38581.08
2020-04-19,Connecticut,43.3,0.9265,4610.14,6533.68,38528.66
2020-04-26,Connecticut,48.2,0.9243,4610.14,5945.58,38597.73
2020-05-03,Connecticut,49.5,0.9223,4610.14,4377.14,38451.3
2020-05-10,Connecticut,52.3,0.9273,4610.14,4340.48,38413.6
2020-05-17,Connecticut,57.1,0.9228,4610.14,4354.38,38353.41
2020-05-24,Connecticut,64.2,0.9259,4610.14,4835.42,38274.36
2020-05-31,Connecticut,64.6,0.9306,4610.14,4039.01,38279.0
2020-06-07,Connecticut,67.8,0.9219,4610.14,3113.29,38194.66
2020-06-14,Connecticut,67.5,0.9269,4610.14,3026.6,38266.46
2020-06-21,Connecticut,75.7,0.9194,4610.14,3979.87,38217.78
2020-06-28,Connecticut,70.9,0.9216,4610.14,3573.76,38149.81
2020-07-05,Connecticut,74.7,0.9148,4850.0,3128.11,38238.14
2020-07-12,Connecticut,73.5,0.9194,4610.14,2779.81,38276.8
2020-07-19,Connecticut,79.9,0.9217,4610.14,1152.53,38273.56
2020-07-26,Connecticut,80.8,0.9197,5601.99,1152.53,38310.84
2020-08-02,Connecticut,76.5,0.919,4610.14,2994.32,38330.44
2020-08-09,Connecticut,78.2,0.9132,4610.14,2462.63,38238.28
2020-08-16,Connecticut,70.7,0.9162,4610.14,3004.38,38285.15
2020-08-23,Connecticut,74.5,0.9141,4610.14,3442.94,38311.74
2020-08-30,Connecticut,69.8,0.9169,4610.14,2265.17,38279.07
2020-09-06,Connecticut,69.4,0.9143,5038.37,1705.23,38229.28
2020-09-13,Connecticut,62.2,0.9147,4610.14,2880.06,38446.88
2020-09-20,Connecticut,60.4,0.9098,5065.68,1152.53,38307.01
2020-09-27,Connecticut,64.4,0.9105,4867.02,1402.72,38257.51
2020-10-04,Connecticut,57.5,0.9101,4648.21,2262.21,38227.25
2020-10-11,Connecticut,55.1,0.9116,4610.14,1942.02,38404.27
2020-10-18,Connecticut,58.9,0.9127,5206.87,1254.84,38298.32
2020-10-25,Connecticut,45.2,0.9147,4610.14,2367.02,38464.84
2020-11-01,Connecticut,48.5,0.9113,4610.14,2944.61,38502.31
2020-11-08,Connecticut,53.3,0.9092,4610.14,1616.5,38386.33
2020-11-15,Connecticut,41.5,0.9206,4610.14,2003.04,38553.22
2020-11-22,Connecticut,45.2,0.9108,4906.74,1152.53,38595.62
2020-11-29,Connecticut,43.4,0.9168,7088.0,1660.05,38421.07
2020-12-06,Connecticut,34.0,0.9177,8195.44,1152.53,38566.16
2020-12-13,Connecticut,28.5,0.9185,9716.94,1152.53,38588.88
2020-12-20,Connecticut,36.1,0.9178,10477.26,1152.53,38550.88
2020-12-27,Connecticut,34.3,0.9168,11807.78,1152.53,38544.79
2021-01-03,Connecticut,31.2,0.9238,10725.92,2823.73,38499.55
2021-01-10,Connecticut,33.1,0.9212,9819.13,1152.53,38475.88
2021-01-17,Connecticut,31.9,0.9261,9668.69,1152.53,38461.56
2021-01-24,Connecticut,23.4,0.9245,8309.45,1152.53,38522.73
2021-01-31,Connecticut,28.7,0.9247,7928.88,1716.73,38504.61
2021-02-07,Connecticut,21.5,0.9258,8954.57,1152.53,38590.24
2021-02-14,Connecticut,28.7,0.9267,8367.66,1152.53,38555.66
2021-02-21,Connecticut,33.6,0.924,5592.09,2433.15,38513.61
2021-02-28,Connecticut,31.6,0.9266,5519.63,1152.53,38476.24
2021-03-07,Connecticut,39.8,0.9278,4610.14,1152.53,38488.54
2021-03-14,Connecticut,34.0,0.935,4610.14,1301.34,38684.04
2021-03-21,Connecticut,49.6,0.9313,5206.16,1954.41,38524.69
2021-03-28,Connecticut,42.9,0.9318,5257.67,1176.43,38518.12
2021-04-04,Connecticut,50.5,0.9319,5204.57,1152.53,38577.42
2021-04-11,Connecticut,47.4,0.9333,5725.79,1152.53,38506.7
2021-04-18,Connecticut,49.7,0.9402,4630.02,1263.36,38482.34
2021-04-25,Connecticut,52.8,0.9321,4610.14,1152.53,38541.82
2021-05-02,Connecticut,54.3,0.93,4610.14,1152.53,38377.34
2021-05-09,Connecticut,54.3,0.9337,4610.14,1152.53,38333.77
2021-05-16,Connecticut,65.4,0.9246,4610.14,1152.53,38367.0
2021-05-23,Connecticut,63.2,0.9325,4610.14,1152.53,38331.46
2021-05-30,Connecticut,61.4,0.9314,4610.14,1152.53,38335.78
2021-06-06,Connecticut,73.0,0.9265,4610.14,1152.53,38216.88
2021-06-13,Connecticut,68.3,0.9311,4610.14,2272.08,38263.88
2021-06-20,Connecticut,69.5,0.9299,4610.14,1152.53,38249.41
2021-06-27,Connecticut,75.0,0.9244,4610.14,1152.53,38206.6
2021-07-04,Connecticut,71.8,0.9238,4610.14,2434.36,38256.69
2021-07-11,Connecticut,73.9,0.9172,5076.2,2544.5,38248.0
2021-07-18,Connecticut,72.0,0.9268,5082.06,1693.61,38269.26
2021-07-25,Connecticut,71.4,0.9269,5853.03,2136.81,38300.08
2021-08-01,Connecticut,69.7,0.9196,4610.14,1211.4,38211.02
2021-08-08,Connecticut,77.0,0.9237,4610.14,1152.53,38325.8
2021-08-15,Connecticut,74.6,0.9183,4610.14,1244.08,38316.05
2021-08-22,Connecticut,75.5,0.9194,4610.14,1152.53,38277.79
2021-08-29,Connecticut,67.6,0.9237,4610.14,1152.53,38342.33
2021-09-05,Connecticut,67.5,0.9174,4610.14,1152.53,38321.35
2021-09-12,Connecticut,70.1,0.9194,4610.14,1170.89,38241.87
2021-09-19,Connecticut,66.0,0.918,4610.14,1517.08,38267.58
2021-09-26,Connecticut,59.9,0.9186,4610.14,1152.53,38357.94
2021-10-03,Connecticut,60.7,0.9177,4610.14,1152.53,38334.52
2021-10-10,Connecticut,63.2,0.9168,4610.14,1152.53,38413.27
2021-10-17,Connecticut,56.6,0.92,4610.14,1152.53,38454.65
2021-10-24,Connecticut,52.6,0.9173,4875.06,2243.15,38461.38
2021-10-31,Connecticut,45.5,0.9194,4686.37,1152.53,38447.51
2021-11-07,Connecticut,48.0,0.9184,4610.14,1640.68,38456.56
2021-11-14,Connecticut,42.8,0.9161,4610.14,1213.36,38483.27
2021-11-21,Connecticut,38.9,0.9236,4610.14,1158.19,38595.32
2021-11-28,Connecticut,36.5,0.9225,6166.54,1152.53,38462.99
2021-12-05,Connecticut,39.6,0.9311,5557.92,1152.53,38562.63
2021-12-12,Connecticut,43.7,0.9212,6522.54,1152.53,38515.25
2021-12-19,Connecticut,31.1,0.9239,7522.02,1152.53,38527.69
2021-12-26,Connecticut,40.1,0.9242,8106.02,1433.65,38556.62
2022-01-02,Connecticut,30.1,0.932,8204.33,1152.53,38514.03
2022-01-09,Connecticut,24.8,0.9276,8153.07,1728.43,38589.4
2022-01-16,Connecticut,25.7,0.9258,7382.14,1371.21,38682.88
2022-01-23,Connecticut,24.5,0.933,6637.17,1152.53,38463.79
2022-01-30,Connecticut,25.0,0.9286,4677.23,1152.53,38517.39
2022-02-06,Connecticut,35.4,0.9366,4610.14,1152.53,38441.11
2022-02-13,Connecticut,31.1,0.9364,5256.49,1307.62,38469.37
2022-02-20,Connecticut,34.5,0.9341,4610.14,1152.53,38525.91
2022-02-27,Connecticut,30.6,0.9338,4610.14,1152.53,38591.95
2022-03-06,Connecticut,41.4,0.9364,4610.14,1152.53,38527.78
2022-03-13,Connecticut,45.3,0.9377,4610.14,1152.53,38453.04
2022-03-20,Connecticut,45.2,0.9404,4788.74,1152.53,38638.73
2022-03-27,Connecticut,38.5,0.9356,5140.48,1152.53,38487.66
2022-04-03,Connecticut,46.0,0.9396,4710.27,1152.53,38488.98
2022-04-10,Connecticut,52.9,0.936,5526.3,2128.3,38500.1
2022-04-17,Connecticut,46.8,0.9365,4610.14,2154.37,38536.17
2022-04-24,Connecticut,48.2,0.9395,4610.14,2502.79,38539.91
2022-05-01,Connecticut,52.5,0.9327,4610.14,1923.42,38538.98
2022-05-08,Connecticut,58.7,0.9449,4610.14,1152.53,38408.28
2022-05-15,Connecticut,63.6,0.9353,4610.14,1152.53,38353.25
2022-05-22,Connecticut,64.8,0.9389,4610.14,1821.15,38298.41
2022-05-29,Connecticut,67.2,0.9426,4610.14,1177.13,38333.65
2022-06-05,Connecticut,67.3,0.9335,4610.14,1152.53,38268.99
2022-06-12,Connecticut,68.7,0.9293,4610.14,1642.07,38254.27
2022-06-19,Connecticut,65.7,0.935,4610.14,1584.26,38333.47
2022-06-26,Connecticut,72.3,0.9339,4610.14,2101.25,38322.38
2022-07-03,Connecticut,73.2,0.9255,4610.14,2193.93,38157.89
2022-07-10,Connecticut,73.2,0.9333,4610.14,2649.16,38313.96
2022-07-17,Connecticut,80.1,0.9332,4965.97,3423.08,38249.29
2022-07-24,Connecticut,78.6,0.9362,4610.14,3428.69,38337.17
2022-07-31,Connecticut,78.0,0.9295,4610.14,3613.45,38279.55
2022-08-07,Connecticut,77.1,0.9239,4610.14,3395.58,38357.14
2022-08-14,Connecticut,72.9,0.9276,4610.14,3758.84,38288.57
2022-08-21,Connecticut,74.1,0.9287,4610.14,2221.16,38194.16
2022-08-28,Connecticut,72.2,0.9319,4610.14,2022.18,38362.74
2022-09-04,Connecticut,68.3,0.9303,5644.43,1450.38,38278.24
2022-09-11,Connecticut,65.6,0.9299,5033.51,1152.53,38245.54
2022-09-18,Connecticut,63.9,0.9272,4610.14,1152.53,38322.35
2022-09-25,Connecticut,58.5,0.9289,5295.41,1790.59,38344.04
2022-10-02,Connecticut,55.0,0.9235,4610.14,3255.96,38414.43
2022-10-09,Connecticut,56.0,0.9261,4610.14,3612.2,38420.43
2022-10-16,Connecticut,50.7,0.9221,4869.22,2658.97,38423.95
2022-10-23,Connecticut,55.1,0.926,4610.14,1973.09,38365.07
2022-10-30,Connecticut,55.3,0.9262,4978.09,2856.44,38440.9
2022-11-06,Connecticut,57.0,0.9324,4610.14,2420.97,38449.42
2022-11-13,Connecticut,38.4,0.9267,4610.14,2969.46,38608.27
2022-11-20,Connecticut,37.8,0.9278,4884.93,2953.9,38552.08
2022-11-27,Connecticut,42.4,0.9283,5671.69,2000.38,38547.23
2022-12-04,Connecticut,41.1,0.9295,6922.14,2868.87,38599.17
2022-12-11,Connecticut,30.7,0.9286,5811.69,1219.32,38695.4
2022-12-18,Connecticut,29.9,0.935,7540.66,1152.53,38676.25
2022-12-25,Connecticut,33.1,0.9283,8158.89,1152.53,38575.73
2023-01-01,Connecticut,43.5,0.9317,7839.74,1152.53,38451.65
2023-01-08,Connecticut,35.1,0.9378,7296.5,1152.53,38537.26
2023-01-15,Connecticut,36.2,0.9394,6115.57,1152.53,38433.57
2023-01-22,Connecticut,35.7,0.9347,5245.35,1152.53,38426.74
2023-01-29,Connecticut,28.5,0.9349,4610.14,2541.73,38585.03
2023-02-05,Connecticut,37.9,0.9414,4610.14,1152.53,38470.93
2023-02-12,Connecticut,42.0,0.9386,5089.06,1152.53,38408.27
2023-02-19,Connecticut,35.7,0.9385,4610.14,1614.22,38527.31
2023-02-26,Connecticut,34.1,0.9436,5078.36,1152.53,38590.0
2023-03-05,Connecticut,36.8,0.946,4610.14,1152.53,38512.74
2023-03-12,Connecticut,39.0,0.9483,4610.14,1152.53,38526.95
2023-03-19,Connecticut,41.7,0.9407,4610.14,1152.53,38514.51
2023-03-26,Connecticut,42.3,0.9431,4610.14,1560.51,38608.26
2023-04-02,Connecticut,47.9,0.9467,4903.9,1152.53,38585.84
2023-04-09,Connecticut,58.7,0.9432,5332.46,1152.53,38529.42
2023-04-16,Connecticut,52.7,0.9481,4648.99,1152.53,38555.88
2023-04-23,Connecticut,48.7,0.9499,4610.14,1152.53,38443.93
