week,state,avg_employment
2022-05-01,Alaska,0.99
2022-05-08,Alaska,0.99
2022-05-15,Alaska,0.99
2022-05-22,Alaska,0.99
2022-05-29,Alaska,0.99
2022-06-05,Alaska,0.99
2022-06-12,Alaska,0.99
2022-06-19,Alaska,0.99
2022-06-26,Alaska,0.99
2022-07-03,Alaska,0.99
2022-07-10,Alaska,0.99
2022-07-17,Alaska,0.99
2022-07-24,Alaska,0.99
2022-07-31,Alaska,0.99
2022-08-07,Alaska,0.99
2022-08-14,Alaska,0.99
2022-08-21,Alaska,0.99
2022-08-28,Alaska,0.99
2022-09-04,Alaska,0.99
2022-09-11,Alaska,0.99
2022-09-18,Alaska,0.99
2022-09-25,Alaska,0.99
2022-10-02,Alaska,0.99
2022-10-09,Alaska,0.99
2022-10-16,Alaska,0.99
2022-10-23,Alaska,0.99
2022-10-30,Alaska,0.99
2022-11-06,Alaska,0.99
2022-11-13,Alaska,0.99
2022-11-20,Alaska,0.99
2022-11-27,Alaska,0.99
2022-12-04,Alaska,0.99
2022-12-11,Alaska,0.99
2022-12-18,Alaska,0.99
2022-12-25,Alaska,0.99
2023-01-01,Alaska,0.99
2023-01-08,Alaska,0.99
2023-01-15,Alaska,0.99
2023-01-22,Alaska,0.99
2023-01-29,Alaska,0.99
2023-02-05,Alaska,0.99
2023-02-12,Alaska,0.99
2023-02-19,Alaska,0.99
2023-02-26,Alaska,0.99
2023-03-05,Alaska,0.99
2023-03-12,Alaska,0.99
2023-03-19,Alaska,0.99
2023-03-26,Alaska,0.99
2023-04-02,Alaska,0.99
2023-04-09,Alaska,0.99
2023-04-16,Alaska,0.99
2023-04-23,Alaska,0.99
2023-04-30,Alaska,0.99
2023-05-07,Alaska,0.99
2023-05-14,Alaska,0.99
2023-05-21,Alaska,0.99
2023-05-28,Alaska,0.99
2023-06-04,Alaska,0.99
2023-06-11,Alaska,0.99
2023-06-18,Alaska,0.99
2023-06-25,Alaska,0.99
2023-07-02,Alaska,0.99
2023-07-09,Alaska,0.99
2023-07-16,Alaska,0.99
2023-07-23,Alaska,0.99
2023-07-30,Alaska,0.99
2023-08-06,Alaska,0.99
2023-08-13,Alaska,0.99
2023-08-20,Alaska,0.99
2023-08-27,Alaska,0.99
2023-09-03,Alaska,0.99
2023-09-10,Alaska,0.99
2023-09-17,Alaska,0.99
2023-09-24,Alaska,0.99
2023-10-01,Alaska,0.99
2023-10-08,Alaska,0.99
2023-10-15,Alaska,0.99
2023-10-22,Alaska,0.99
2023-10-29,Alaska,0.99
2023-11-05,Alaska,0.99
2023-11-12,Alaska,0.99
2023-11-19,Alaska,0.99
2023-11-26,Alaska,0.99
2023-12-03,Alaska,0.99
2023-12-10,Alaska,0.99
2023-12-17,Alaska,0.99
2023-12-24,Alaska,0.99
2023-12-31,Alaska,0.99
2020-01-12,Arizona,0.9395
2020-01-19,Arizona,0.9372
2020-01-26,Arizona,0.934
2020-02-02,Arizona,0.9433
2020-02-09,Arizona,0.9489
2020-02-16,Arizona,0.9474
2020-02-23,Arizona,0.9438
2020-03-01,Arizona,0.9493
2020-03-08,Arizona,0.9455
2020-03-15,Arizona,0.9553
2020-03-22,Arizona,0.954
2020-03-29,Arizona,0.9512
2020-04-05,Arizona,0.9544
2020-04-12,Arizona,0.9476
2020-04-19,Arizona,0.953
2020-04-26,Arizona,0.9587
2020-05-03,Arizona,0.9562
2020-05-10,Arizona,0.9546
2020-05-17,Arizona,0.9539
2020-05-24,Arizona,0.9566
2020-05-31,Arizona,0.9537
2020-06-07,Arizona,0.9449
2020-06-14,Arizona,0.9502
2020-06-21,Arizona,0.9518
2020-06-28,Arizona,0.9542
2020-07-05,Arizona,0.9401
2020-07-12,Arizona,0.9444
2020-07-19,Arizona,0.9448
2020-07-26,Arizona,0.9421
2020-08-02,Arizona,0.9404
2020-08-09,Arizona,0.9415
2020-08-16,Arizona,0.9387
2020-08-23,Arizona,0.9461
2020-08-30,Arizona,0.9393
2020-09-06,Arizona,0.9343
2020-09-13,Arizona,0.9345
2020-09-20,Arizona,0.9338
2020-09-27,Arizona,0.9349
2020-10-04,Arizona,0.9308
2020-10-11,Arizona,0.9348
2020-10-18,Arizona,0.9359
2020-10-25,Arizona,0.9292
2020-11-01,Arizona,0.9379
2020-11-08,Arizona,0.9386
2020-11-15,Arizona,0.9404
2020-11-22,Arizona,0.9427
2020-11-29,Arizona,0.942
2020-12-06,Arizona,0.9429
2020-12-13,Arizona,0.9428
2020-12-20,Arizona,0.9471
2020-12-27,Arizona,0.944
2021-01-03,Arizona,0.9491
2021-01-10,Arizona,0.9602
2021-01-17,Arizona,0.9525
2021-01-24,Arizona,0.9519
2021-01-31,Arizona,0.9475
2021-02-07,Arizona,0.9637
2021-02-14,Arizona,0.9585
2021-02-21,Arizona,0.9619
2021-02-28,Arizona,0.965
2021-03-07,Arizona,0.9645
2021-03-14,Arizona,0.9679
2021-03-21,Arizona,0.9726
2021-03-28,Arizona,0.961
2021-04-04,Arizona,0.968
2021-04-11,Arizona,0.9681
2021-04-18,Arizona,0.9705
2021-04-25,Arizona,0.9713
2021-05-02,Arizona,0.9667
2021-05-09,Arizona,0.9683
2021-05-16,Arizona,0.9683
2021-05-23,Arizona,0.9698
2021-05-30,Arizona,0.9719
2021-06-06,Arizona,0.9693
2021-06-13,Arizona,0.9701
2021-06-20,Arizona,0.9692
2021-06-27,Arizona,0.9649
2021-07-04,Arizona,0.9611
2021-07-11,Arizona,0.9686
2021-07-18,Arizona,0.9648
2021-07-25,Arizona,0.9608
2021-08-01,Arizona,0.9604
2021-08-08,Arizona,0.9548
2021-08-15,Arizona,0.9543
2021-08-22,Arizona,0.9608
2021-08-29,Arizona,0.953
2021-09-05,Arizona,0.9465
2021-09-12,Arizona,0.9554
2021-09-19,Arizona,0.953
2021-09-26,Arizona,0.9536
2021-10-03,Arizona,0.9507
2021-10-10,Arizona,0.9514
2021-10-17,Arizona,0.951
2021-10-24,Arizona,0.9508
2021-10-31,Arizona,0.9519
2021-11-07,Arizona,0.9539
2021-11-14,Arizona,0.953
2021-11-21,Arizona,0.9542
2021-11-28,Arizona,0.9486
2021-12-05,Arizona,0.9635
2021-12-12,Arizona,0.9629
2021-12-19,Arizona,0.9618
2021-12-26,Arizona,0.9631
2022-01-02,Arizona,0.9703
2022-01-09,Arizona,0.9676
2022-01-16,Arizona,0.9685
2022-01-23,Arizona,0.972
2022-01-30,Arizona,0.9714
2022-02-06,Arizona,0.9839
2022-02-13,Arizona,0.983
2022-02-20,Arizona,0.9813
2022-02-27,Arizona,0.9765
2022-03-06,Arizona,0.9824
2022-03-13,Arizona,0.9814
2022-03-20,Arizona,0.9855
2022-03-27,Arizona,0.9768
2022-04-03,Arizona,0.9858
2022-04-10,Arizona,0.9865
2022-04-17,Arizona,0.9832
2022-04-24,Arizona,0.99
2022-05-01,Arizona,0.9832
2022-05-08,Arizona,0.9877
2022-05-15,Arizona,0.99
2022-05-22,Arizona,0.9827
2022-05-29,Arizona,0.9875
2022-06-05,Arizona,0.982
2022-06-12,Arizona,0.9818
2022-06-19,Arizona,0.9862
2022-06-26,Arizona,0.9875
2022-07-03,Arizona,0.9801
2022-07-10,Arizona,0.9759
2022-07-17,Arizona,0.9857
2022-07-24,Arizona,0.9734
2022-07-31,Arizona,0.976
2022-08-07,Arizona,0.9731
2022-08-14,Arizona,0.9732
2022-08-21,Arizona,0.9747
2022-08-28,Arizona,0.9783
2022-09-04,Arizona,0.9686
2022-09-11,Arizona,0.9696
2022-09-18,Arizona,0.9678
2022-09-25,Arizona,0.9717
2022-10-02,Arizona,0.9675
2022-10-09,Arizona,0.9678
2022-10-16,Arizona,0.9707
2022-10-23,Arizona,0.9725
2022-10-30,Arizona,0.9631
2022-11-06,Arizona,0.9729
2022-11-13,Arizona,0.9714
2022-11-20,Arizona,0.9753
2022-11-27,Arizona,0.9721
2022-12-04,Arizona,0.982
2022-12-11,Arizona,0.9764
2022-12-18,Arizona,0.972
2022-12-25,Arizona,0.9822
2023-01-01,Arizona,0.9836
2023-01-08,Arizona,0.9817
2023-01-15,Arizona,0.9868
2023-01-22,Arizona,0.9864
2023-01-29,Arizona,0.9899
2023-02-05,Arizona,0.99
2023-02-12,Arizona,0.99
2023-02-19,Arizona,0.99
2023-02-26,Arizona,0.99
2023-03-05,Arizona,0.99
2023-03-12,Arizona,0.99
2023-03-19,Arizona,0.99
2023-03-26,Arizona,0.99
2023-04-02,Arizona,0.99
2023-04-09,Arizona,0.99
2023-04-16,Arizona,0.99
2023-04-23,Arizona,0.99
2023-04-30,Arizona,0.99
2023-05-07,Arizona,0.99
2023-05-14,Arizona,0.99
2023-05-21,Arizona,0.99
2023-05-28,Arizona,0.99
2023-06-04,Arizona,0.99
2023-06-11,Arizona,0.99
2023-06-18,Arizona,0.99
2023-06-25,Arizona,0.99
2023-07-02,Arizona,0.99
2023-07-09,Arizona,0.99
2023-07-16,Arizona,0.99
2023-07-23,Arizona,0.99
2023-07-30,Arizona,0.99
2023-08-06,Arizona,0.99
2023-08-13,Arizona,0.99
2023-08-20,Arizona,0.9851
2023-08-27,Arizona,0.99
2023-09-03,Arizona,0.9825
2023-09-10,Arizona,0.9844
2023-09-17,Arizona,0.9868
2023-09-24,Arizona,0.9891
2023-10-01,Arizona,0.9824
2023-10-08,Arizona,0.9785
2023-10-15,Arizona,0.9863
2023-10-22,Arizona,0.99
2023-10-29,Arizona,0.9858
2023-11-05,Arizona,0.9887
2023-11-12,Arizona,0.99
2023-11-19,Arizona,0.99
2023-11-26,Arizona,0.99
2023-12-03,Arizona,0.99
2023-12-10,Arizona,0.99
2023-12-17,Arizona,0.99
2023-12-24,Arizona,0.99
2023-12-31,Arizona,0.99
2020-01-12,Arkansas,0.9486
2020-01-19,Arkansas,0.9516
2020-01-26,Arkansas,0.9527
2020-02-02,Arkansas,0.9634
2020-02-09,Arkansas,0.9555
2020-02-16,Arkansas,0.9657
2020-02-23,Arkansas,0.9611
2020-03-01,Arkansas,0.966
2020-03-08,Arkansas,0.9647
2020-03-15,Arkansas,0.9632
2020-03-22,Arkansas,0.9711
2020-03-29,Arkansas,0.9694
2020-04-05,Arkansas,0.9677
2020-04-12,Arkansas,0.9681
2020-04-19,Arkansas,0.9715
2020-04-26,Arkansas,0.978
2020-05-03,Arkansas,0.9707
2020-05-10,Arkansas,0.9675
2020-05-17,Arkansas,0.9717
2020-05-24,Arkansas,0.9721
2020-05-31,Arkansas,0.9653
2020-06-07,Arkansas,0.9684
2020-06-14,Arkansas,0.9684
2020-06-21,Arkansas,0.9716
2020-06-28,Arkansas,0.9756
2020-07-05,Arkansas,0.9667
2020-07-12,Arkansas,0.963
2020-07-19,Arkansas,0.9609
2020-07-26,Arkansas,0.9724
2020-08-02,Arkansas,0.9582
2020-08-09,Arkansas,0.9585
2020-08-16,Arkansas,0.9589
2020-08-23,Arkansas,0.96
2020-08-30,Arkansas,0.9595
2020-09-06,Arkansas,0.9534
2020-09-13,Arkansas,0.9539
2020-09-20,Arkansas,0.956
2020-09-27,Arkansas,0.9549
2020-10-04,Arkansas,0.9529
2020-10-11,Arkansas,0.9559
2020-10-18,Arkansas,0.9553
2020-10-25,Arkansas,0.961
2020-11-01,Arkansas,0.9509
2020-11-08,Arkansas,0.9626
2020-11-15,Arkansas,0.9636
2020-11-22,Arkansas,0.9541
2020-11-29,Arkansas,0.9597
2020-12-06,Arkansas,0.9654
2020-12-13,Arkansas,0.9627
2020-12-20,Arkansas,0.9651
2020-12-27,Arkansas,0.9646
2021-01-03,Arkansas,0.9808
2021-01-10,Arkansas,0.9788
2021-01-17,Arkansas,0.9803
2021-01-24,Arkansas,0.9791
2021-01-31,Arkansas,0.974
2021-02-07,Arkansas,0.9835
2021-02-14,Arkansas,0.987
2021-02-21,Arkansas,0.9823
2021-02-28,Arkansas,0.9886
2021-03-07,Arkansas,0.99
2021-03-14,Arkansas,0.99
2021-03-21,Arkansas,0.99
2021-03-28,Arkansas,0.99
2021-04-04,Arkansas,0.99
2021-04-11,Arkansas,0.99
2021-04-18,Arkansas,0.99
2021-04-25,Arkansas,0.99
2021-05-02,Arkansas,0.99
2021-05-09,Arkansas,0.99
2021-05-16,Arkansas,0.99
2021-05-23,Arkansas,0.99
2021-05-30,Arkansas,0.99
2021-06-06,Arkansas,0.99
2021-06-13,Arkansas,0.99
2021-06-20,Arkansas,0.99
2021-06-27,Arkansas,0.99
2021-07-04,Arkansas,0.9835
2021-07-11,Arkansas,0.9836
2021-07-18,Arkansas,0.99
2021-07-25,Arkansas,0.9853
2021-08-01,Arkansas,0.9877
2021-08-08,Arkansas,0.9767
2021-08-15,Arkansas,0.9885
2021-08-22,Arkansas,0.9845
2021-08-29,Arkansas,0.9841
2021-09-05,Arkansas,0.9779
2021-09-12,Arkansas,0.9812
2021-09-19,Arkansas,0.9804
2021-09-26,Arkansas,0.9843
2021-10-03,Arkansas,0.9799
2021-10-10,Arkansas,0.9804
2021-10-17,Arkansas,0.9794
2021-10-24,Arkansas,0.9808
2021-10-31,Arkansas,0.9823
2021-11-07,Arkansas,0.9787
2021-11-14,Arkansas,0.9802
2021-11-21,Arkansas,0.987
2021-11-28,Arkansas,0.9857
2021-12-05,Arkansas,0.99
2021-12-12,Arkansas,0.99
2021-12-19,Arkansas,0.99
2021-12-26,Arkansas,0.99
2022-01-02,Arkansas,0.99
2022-01-09,Arkansas,0.99
2022-01-16,Arkansas,0.99
2022-01-23,Arkansas,0.99
2022-01-30,Arkansas,0.99
2022-02-06,Arkansas,0.99
2022-02-13,Arkansas,0.99
2022-02-20,Arkansas,0.99
2022-02-27,Arkansas,0.99
2022-03-06,Arkansas,0.99
2022-03-13,Arkansas,0.99
2022-03-20,Arkansas,0.99
2022-03-27,Arkansas,0.99
2022-04-03,Arkansas,0.99
2022-04-10,Arkansas,0.99
2022-04-17,Arkansas,0.99
2022-04-24,Arkansas,0.99
2022-05-01,Arkansas,0.99
2022-05-08,Arkansas,0.99
2022-05-15,Arkansas,0.99
2022-05-22,Arkansas,0.99
2022-05-29,Arkansas,0.99
2022-06-05,Arkansas,0.99
2022-06-12,Arkansas,0.99
2022-06-19,Arkansas,0.99
2022-06-26,Arkansas,0.99
2022-07-03,Arkansas,0.99
2022-07-10,Arkansas,0.99
2022-07-17,Arkansas,0.99
2022-07-24,Arkansas,0.99
2022-07-31,Arkansas,0.99
2022-08-07,Arkansas,0.99
2022-08-14,Arkansas,0.99
2022-08-21,Arkansas,0.99
2022-08-28,Arkansas,0.99
2022-09-04,Arkansas,0.99
2022-09-11,Arkansas,0.99
2022-09-18,Arkansas,0.99
2022-09-25,Arkansas,0.99
2022-10-02,Arkansas,0.99
2022-10-09,Arkansas,0.99
2022-10-16,Arkansas,0.99
2022-10-23,Arkansas,0.99
2022-10-30,Arkansas,0.99
2022-11-06,Arkansas,0.99
2022-11-13,Arkansas,0.99
2022-11-20,Arkansas,0.99
2022-11-27,Arkansas,0.99
2022-12-04,Arkansas,0.99
2022-12-11,Arkansas,0.99
2022-12-18,Arkansas,0.99
2022-12-25,Arkansas,0.99
2023-01-01,Arkansas,0.99
2023-01-08,Arkansas,0.99
2023-01-15,Arkansas,0.99
2023-01-22,Arkansas,0.99
2023-01-29,Arkansas,0.99
2023-02-05,Arkansas,0.99
2023-02-12,Arkansas,0.99
2023-02-19,Arkansas,0.99
2023-02-26,Arkansas,0.99
2023-03-05,Arkansas,0.99
2023-03-12,Arkansas,0.99
2023-03-19,Arkansas,0.99
2023-03-26,Arkansas,0.99
2023-04-02,Arkansas,0.99
2023-04-09,Arkansas,0.99
2023-04-16,Arkansas,0.99
2023-04-23,Arkansas,0.99
2023-04-30,Arkansas,0.99
2023-05-07,Arkansas,0.99
2023-05-14,Arkansas,0.99
2023-05-21,Arkansas,0.99
2023-05-28,Arkansas,0.99
2023-06-04,Arkansas,0.99
2023-06-11,Arkansas,0.99
2023-06-18,Arkansas,0.99
2023-06-25,Arkansas,0.99
2023-07-02,Arkansas,0.99
2023-07-09,Arkansas,0.99
2023-07-16,Arkansas,0.99
2023-07-23,Arkansas,0.99
2023-07-30,Arkansas,0.99
2023-08-06,Arkansas,0.99
2023-08-13,Arkansas,0.99
2023-08-20,Arkansas,0.99
2023-08-27,Arkansas,0.99
2023-09-03,Arkansas,0.99
2023-09-10,Arkansas,0.99
2023-09-17,Arkansas,0.99
2023-09-24,Arkansas,0.99
2023-10-01,Arkansas,0.99
2023-10-08,Arkansas,0.99
2023-10-15,Arkansas,0.99
2023-10-22,Arkansas,0.99
2023-10-29,Arkansas,0.99
2023-11-05,Arkansas,0.99
2023-11-12,Arkansas,0.99
2023-11-19,Arkansas,0.99
2023-11-26,Arkansas,0.99
2023-12-03,Arkansas,0.99
2023-12-10,Arkansas,0.99
2023-12-17,Arkansas,0.99
2023-12-24,Arkansas,0.99
2023-12-31,Arkansas,0.99
