week,state,avg_temp
2023-10-22,Alabama,68.9
2023-10-29,Alabama,55.6
2023-11-05,Alabama,62.8
2023-11-12,Alabama,59.4
2023-11-19,Alabama,54.2
2023-11-26,Alabama,50.2
2023-12-03,Alabama,52.9
2023-12-10,Alabama,48.7
2023-12-17,Alabama,46.8
2023-12-24,Alabama,48.9
2023-12-31,Alabama,43.3
2020-01-12,Alaska,-7.1
2020-01-19,Alaska,-9.1
2020-01-26,Alaska,-12.0
2020-02-02,Alaska,-0.3
2020-02-09,Alaska,-2.7
2020-02-16,Alaska,-1.6
2020-02-23,Alaska,-5.0
2020-03-01,Alaska,-7.9
2020-03-08,Alaska,-1.8
2020-03-15,Alaska,9.6
2020-03-22,Alaska,8.8
2020-03-29,Alaska,0.7
2020-04-05,Alaska,-3.3
2020-04-12,Alaska,15.5
2020-04-19,Alaska,14.5
2020-04-26,Alaska,10.7
2020-05-03,Alaska,15.5
2020-05-10,Alaska,21.8
2020-05-17,Alaska,18.2
2020-05-24,Alaska,18.9
2020-05-31,Alaska,21.1
2020-06-07,Alaska,25.6
2020-06-14,Alaska,25.2
2020-06-21,Alaska,22.3
2020-06-28,Alaska,28.2
2020-07-05,Alaska,32.1
2020-07-12,Alaska,29.9
2020-07-19,Alaska,29.0
2020-07-26,Alaska,30.5
2020-08-02,Alaska,27.3
2020-08-09,Alaska,27.4
2020-08-16,Alaska,32.2
2020-08-23,Alaska,24.8
2020-08-30,Alaska,20.7
2020-09-06,Alaska,19.6
2020-09-13,Alaska,21.0
2020-09-20,Alaska,17.3
2020-09-27,Alaska,18.5
2020-10-04,Alaska,14.6
2020-10-11,Alaska,7.8
2020-10-18,Alaska,5.4
2020-10-25,Alaska,0.2
2020-11-01,Alaska,-7.6
2020-11-08,Alaska,5.5
2020-11-15,Alaska,5.7
2020-11-22,Alaska,1.7
2020-11-29,Alaska,-2.1
2020-12-06,Alaska,3.6
2020-12-13,Alaska,2.2
2020-12-20,Alaska,1.8
2020-12-27,Alaska,4.3
2021-01-03,Alaska,2.6
2021-01-10,Alaska,3.6
2021-01-17,Alaska,7.1
2021-01-24,Alaska,3.1
2021-01-31,Alaska,-1.2
2021-02-07,Alaska,-0.2
2021-02-14,Alaska,-2.7
2021-02-21,Alaska,-4.1
2021-02-28,Alaska,-4.9
2021-03-07,Alaska,-2.0
2021-03-14,Alaska,-10.9
2021-03-21,Alaska,-5.9
2021-03-28,Alaska,-1.5
2021-04-04,Alaska,-7.8
2021-04-11,Alaska,6.9
2021-04-18,Alaska,19.4
2021-04-25,Alaska,13.4
2021-05-02,Alaska,11.4
2021-05-09,Alaska,14.9
2021-05-16,Alaska,15.4
2021-05-23,Alaska,22.6
2021-05-30,Alaska,19.8
2021-06-06,Alaska,21.8
2021-06-13,Alaska,27.5
2021-06-20,Alaska,23.8
2021-06-27,Alaska,26.8
2021-07-04,Alaska,22.3
2021-07-11,Alaska,31.4
2021-07-18,Alaska,32.4
2021-07-25,Alaska,29.9
2021-08-01,Alaska,37.1
2021-08-08,Alaska,23.5
2021-08-15,Alaska,24.7
2021-08-22,Alaska,25.0
2021-08-29,Alaska,26.5
2021-09-05,Alaska,22.5
2021-09-12,Alaska,16.2
2021-09-19,Alaska,8.3
2021-09-26,Alaska,4.7
2021-10-03,Alaska,9.4
2021-10-10,Alaska,4.7
2021-10-17,Alaska,9.3
2021-10-24,Alaska,4.0
2021-10-31,Alaska,8.4
2021-11-07,Alaska,-2.4
2021-11-14,Alaska,-9.4
2021-11-21,Alaska,-10.9
2021-11-28,Alaska,-8.2
2021-12-05,Alaska,-5.6
2021-12-12,Alaska,-6.4
2021-12-19,Alaska,8.9
2021-12-26,Alaska,6.9
2022-01-02,Alaska,-8.6
2022-01-09,Alaska,3.9
2022-01-16,Alaska,2.5
2022-01-23,Alaska,3.0
2022-01-30,Alaska,3.3
2022-02-06,Alaska,-5.0
2022-02-13,Alaska,4.3
2022-02-20,Alaska,7.1
2022-02-27,Alaska,2.4
2022-03-06,Alaska,6.4
2022-03-13,Alaska,2.1
2022-03-20,Alaska,3.0
2022-03-27,Alaska,4.5
2022-04-03,Alaska,-0.3
2022-04-10,Alaska,10.2
2022-04-17,Alaska,4.2
2022-04-24,Alaska,11.2
2022-05-01,Alaska,10.5
2022-05-08,Alaska,9.4
2022-05-15,Alaska,17.6
2022-05-22,Alaska,22.8
2022-05-29,Alaska,30.4
2022-06-05,Alaska,28.0
2022-06-12,Alaska,24.5
2022-06-19,Alaska,30.4
2022-06-26,Alaska,33.3
2022-07-03,Alaska,31.0
2022-07-10,Alaska,31.8
2022-07-17,Alaska,23.3
2022-07-24,Alaska,27.0
2022-07-31,Alaska,29.0
2022-08-07,Alaska,26.0
2022-08-14,Alaska,23.2
2022-08-21,Alaska,25.4
2022-08-28,Alaska,22.4
2022-09-04,Alaska,20.0
2022-09-11,Alaska,19.2
2022-09-18,Alaska,14.4
2022-09-25,Alaska,13.4
2022-10-02,Alaska,18.7
2022-10-09,Alaska,4.1
2022-10-16,Alaska,10.2
2022-10-23,Alaska,0.6
2022-10-30,Alaska,-5.5
2022-11-06,Alaska,5.6
2022-11-13,Alaska,13.4
2022-11-20,Alaska,6.1
2022-11-27,Alaska,7.3
2022-12-04,Alaska,1.2
2022-12-11,Alaska,-1.5
2022-12-18,Alaska,-5.3
2022-12-25,Alaska,6.0
2023-01-01,Alaska,3.3
2023-01-08,Alaska,3.8
2023-01-15,Alaska,4.0
2023-01-22,Alaska,8.2
2023-01-29,Alaska,5.6
2023-02-05,Alaska,-4.7
2023-02-12,Alaska,-5.1
2023-02-19,Alaska,0.3
2023-02-26,Alaska,-10.8
2023-03-05,Alaska,16.2
2023-03-12,Alaska,-5.3
2023-03-19,Alaska,-1.7
2023-03-26,Alaska,3.0
2023-04-02,Alaska,-4.1
2023-04-09,Alaska,-2.8
2023-04-16,Alaska,8.6
2023-04-23,Alaska,4.5
2023-04-30,Alaska,6.3
2023-05-07,Alaska,12.6
2023-05-14,Alaska,16.9
2023-05-21,Alaska,16.0
2023-05-28,Alaska,16.6
2023-06-04,Alaska,19.7
2023-06-11,Alaska,17.8
2023-06-18,Alaska,27.2
2023-06-25,Alaska,21.8
2023-07-02,Alaska,22.5
2023-07-09,Alaska,27.1
2023-07-16,Alaska,30.7
2023-07-23,Alaska,35.8
2023-07-30,Alaska,34.0
2023-08-06,Alaska,28.3
2023-08-13,Alaska,26.6
2023-08-20,Alaska,28.9
2023-08-27,Alaska,24.6
2023-09-03,Alaska,20.7
2023-09-10,Alaska,16.1
2023-09-17,Alaska,12.7
2023-09-24,Alaska,9.6
2023-10-01,Alaska,11.9
2023-10-08,Alaska,7.7
2023-10-15,Alaska,5.6
2023-10-22,Alaska,14.4
2023-10-29,Alaska,13.7
2023-11-05,Alaska,3.7
2023-11-12,Alaska,-1.0
2023-11-19,Alaska,5.2
2023-11-26,Alaska,6.0
2023-12-03,Alaska,-1.8
2023-12-10,Alaska,-5.1
2023-12-17,Alaska,-3.6
2023-12-24,Alaska,-4.5
2023-12-31,Alaska,-1.0
2020-01-12,Arizona,45.1
2020-01-19,Arizona,47.7
2020-01-26,Arizona,47.8
2020-02-02,Arizona,42.0
2020-02-09,Arizona,45.4
2020-02-16,Arizona,51.8
2020-02-23,Arizona,46.9
2020-03-01,Arizona,53.2
2020-03-08,Arizona,51.9
2020-03-15,Arizona,48.9
2020-03-22,Arizona,50.2
2020-03-29,Arizona,55.8
2020-04-05,Arizona,54.9
2020-04-12,Arizona,54.8
2020-04-19,Arizona,63.5
2020-04-26,Arizona,74.8
2020-05-03,Arizona,74.9
2020-05-10,Arizona,70.1
2020-05-17,Arizona,69.0
2020-05-24,Arizona,77.8
2020-05-31,Arizona,81.9
2020-06-07,Arizona,75.3
2020-06-14,Arizona,79.2
2020-06-21,Arizona,84.0
2020-06-28,Arizona,78.7
2020-07-05,Arizona,86.8
2020-07-12,Arizona,87.1
2020-07-19,Arizona,81.1
2020-07-26,Arizona,87.0
2020-08-02,Arizona,85.4
2020-08-09,Arizona,86.8
2020-08-16,Arizona,86.5
2020-08-23,Arizona,86.1
2020-08-30,Arizona,80.2
2020-09-06,Arizona,74.8
2020-09-13,Arizona,78.8
2020-09-20,Arizona,78.8
2020-09-27,Arizona,76.9
2020-10-04,Arizona,76.3
2020-10-11,Arizona,72.8
2020-10-18,Arizona,71.2
2020-10-25,Arizona,54.8
2020-11-01,Arizona,67.4
2020-11-08,Arizona,47.9
2020-11-15,Arizona,61.7
2020-11-22,Arizona,51.6
2020-11-29,Arizona,45.5
2020-12-06,Arizona,48.8
2020-12-13,Arizona,41.2
2020-12-20,Arizona,44.8
2020-12-27,Arizona,43.2
2021-01-03,Arizona,46.4
2021-01-10,Arizona,46.3
2021-01-17,Arizona,50.2
2021-01-24,Arizona,36.5
2021-01-31,Arizona,48.9
2021-02-07,Arizona,51.1
2021-02-14,Arizona,43.6
2021-02-21,Arizona,49.7
2021-02-28,Arizona,48.4
2021-03-07,Arizona,49.3
2021-03-14,Arizona,49.9
2021-03-21,Arizona,48.2
2021-03-28,Arizona,61.4
2021-04-04,Arizona,67.8
2021-04-11,Arizona,63.1
2021-04-18,Arizona,62.1
2021-04-25,Arizona,62.5
2021-05-02,Arizona,70.6
2021-05-09,Arizona,72.9
2021-05-16,Arizona,68.3
2021-05-23,Arizona,71.7
2021-05-30,Arizona,79.0
2021-06-06,Arizona,78.9
2021-06-13,Arizona,90.5
2021-06-20,Arizona,82.6
2021-06-27,Arizona,81.1
2021-07-04,Arizona,84.0
2021-07-11,Arizona,80.7
2021-07-18,Arizona,77.2
2021-07-25,Arizona,74.2
2021-08-01,Arizona,83.2
2021-08-08,Arizona,74.5
2021-08-15,Arizona,73.1
2021-08-22,Arizona,80.9
2021-08-29,Arizona,75.6
2021-09-05,Arizona,80.5
2021-09-12,Arizona,78.7
2021-09-19,Arizona,72.9
2021-09-26,Arizona,63.0
2021-10-03,Arizona,65.4
2021-10-10,Arizona,55.4
2021-10-17,Arizona,61.4
2021-10-24,Arizona,59.7
2021-10-31,Arizona,62.4
2021-11-07,Arizona,60.6
2021-11-14,Arizona,57.1
2021-11-21,Arizona,53.8
2021-11-28,Arizona,54.5
2021-12-05,Arizona,50.3
2021-12-12,Arizona,44.5
2021-12-19,Arizona,47.5
2021-12-26,Arizona,41.3
2022-01-02,Arizona,42.5
2022-01-09,Arizona,47.0
2022-01-16,Arizona,46.2
2022-01-23,Arizona,45.0
2022-01-30,Arizona,43.4
2022-02-06,Arizona,49.9
2022-02-13,Arizona,48.4
2022-02-20,Arizona,40.0
2022-02-27,Arizona,50.8
2022-03-06,Arizona,44.0
2022-03-13,Arizona,55.2
2022-03-20,Arizona,56.8
2022-03-27,Arizona,57.6
2022-04-03,Arizona,63.8
2022-04-10,Arizona,58.5
2022-04-17,Arizona,65.1
2022-04-24,Arizona,65.2
2022-05-01,Arizona,68.9
2022-05-08,Arizona,67.6
2022-05-15,Arizona,74.7
2022-05-22,Arizona,74.8
2022-05-29,Arizona,74.4
2022-06-05,Arizona,82.7
2022-06-12,Arizona,83.2
2022-06-19,Arizona,78.0
2022-06-26,Arizona,78.5
2022-07-03,Arizona,82.3
2022-07-10,Arizona,86.4
2022-07-17,Arizona,85.8
2022-07-24,Arizona,75.0
2022-07-31,Arizona,78.4
2022-08-07,Arizona,77.3
2022-08-14,Arizona,75.1
2022-08-21,Arizona,75.0
2022-08-28,Arizona,80.4
2022-09-04,Arizona,79.7
2022-09-11,Arizona,73.1
2022-09-18,Arizona,73.9
2022-09-25,Arizona,74.0
2022-10-02,Arizona,66.8
2022-10-09,Arizona,66.5
2022-10-16,Arizona,61.7
2022-10-23,Arizona,53.9
2022-10-30,Arizona,50.6
2022-11-06,Arizona,51.2
2022-11-13,Arizona,45.7
2022-11-20,Arizona,46.2
2022-11-27,Arizona,48.0
2022-12-04,Arizona,47.2
2022-12-11,Arizona,36.2
2022-12-18,Arizona,42.2
2022-12-25,Arizona,47.1
2023-01-01,Arizona,41.9
2023-01-08,Arizona,47.2
2023-01-15,Arizona,38.3
2023-01-22,Arizona,35.2
2023-01-29,Arizona,43.6
2023-02-05,Arizona,43.8
2023-02-12,Arizona,39.2
2023-02-19,Arizona,45.5
2023-02-26,Arizona,36.9
2023-03-05,Arizona,53.0
2023-03-12,Arizona,51.2
2023-03-19,Arizona,46.8
2023-03-26,Arizona,48.4
2023-04-02,Arizona,51.7
2023-04-09,Arizona,62.5
2023-04-16,Arizona,61.2
2023-04-23,Arizona,66.7
2023-04-30,Arizona,65.3
2023-05-07,Arizona,65.6
2023-05-14,Arizona,70.4
2023-05-21,Arizona,73.0
2023-05-28,Arizona,71.5
2023-06-04,Arizona,73.7
2023-06-11,Arizona,72.6
2023-06-18,Arizona,78.2
2023-06-25,Arizona,82.9
2023-07-02,Arizona,86.6
2023-07-09,Arizona,87.7
2023-07-16,Arizona,90.8
2023-07-23,Arizona,89.8
2023-07-30,Arizona,84.9
2023-08-06,Arizona,82.9
2023-08-13,Arizona,81.4
2023-08-20,Arizona,77.9
2023-08-27,Arizona,81.7
2023-09-03,Arizona,79.4
2023-09-10,Arizona,74.2
2023-09-17,Arizona,72.3
2023-09-24,Arizona,74.5
2023-10-01,Arizona,67.9
2023-10-08,Arizona,68.5
2023-10-15,Arizona,72.5
2023-10-22,Arizona,64.6
2023-10-29,Arizona,57.3
2023-11-05,Arizona,59.8
2023-11-12,Arizona,58.5
2023-11-19,Arizona,49.5
2023-11-26,Arizona,45.6
2023-12-03,Arizona,49.2
2023-12-10,Arizona,47.4
2023-12-17,Arizona,48.2
2023-12-24,Arizona,42.0
2023-12-31,Arizona,44.6
2020-01-12,Arkansas,47.3
2020-01-19,Arkansas,36.0
2020-01-26,Arkansas,44.1
2020-02-02,Arkansas,47.7
2020-02-09,Arkansas,43.7
2020-02-16,Arkansas,44.8
2020-02-23,Arkansas,46.5
2020-03-01,Arkansas,55.4
2020-03-08,Arkansas,57.2
2020-03-15,Arkansas,54.7
2020-03-22,Arkansas,61.3
2020-03-29,Arkansas,58.3
2020-04-05,Arkansas,63.5
2020-04-12,Arkansas,52.3
2020-04-19,Arkansas,61.8
2020-04-26,Arkansas,64.9
2020-05-03,Arkansas,65.2
2020-05-10,Arkansas,64.4
2020-05-17,Arkansas,68.9
2020-05-24,Arkansas,72.3
2020-05-31,Arkansas,76.9
2020-06-07,Arkansas,77.2
2020-06-14,Arkansas,78.0
2020-06-21,Arkansas,77.9
2020-06-28,Arkansas,80.9
2020-07-05,Arkansas,81.9
2020-07-12,Arkansas,85.0
2020-07-19,Arkansas,83.7
2020-07-26,Arkansas,81.4
2020-08-02,Arkansas,77.9
2020-08-09,Arkansas,81.6
2020-08-16,Arkansas,77.8
2020-08-23,Arkansas,80.2
2020-08-30,Arkansas,77.9
2020-09-06,Arkansas,79.1
2020-09-13,Arkansas,75.0
2020-09-20,Arkansas,66.7
2020-09-27,Arkansas,64.4
2020-10-04,Arkansas,65.0
2020-10-11,Arkansas,64.1
2020-10-18,Arkansas,67.8
2020-10-25,Arkansas,50.7
2020-11-01,Arkansas,56.4
2020-11-08,Arkansas,61.6
2020-11-15,Arkansas,56.6
2020-11-22,Arkansas,51.1
2020-11-29,Arkansas,42.2
2020-12-06,Arkansas,48.8
2020-12-13,Arkansas,38.1
2020-12-20,Arkansas,43.4
2020-12-27,Arkansas,44.5
2021-01-03,Arkansas,40.5
2021-01-10,Arkansas,37.8
2021-01-17,Arkansas,43.8
2021-01-24,Arkansas,46.1
2021-01-31,Arkansas,42.7
2021-02-07,Arkansas,33.3
2021-02-14,Arkansas,19.8
2021-02-21,Arkansas,47.6
2021-02-28,Arkansas,49.7
2021-03-07,Arkansas,59.5
2021-03-14,Arkansas,57.0
2021-03-21,Arkansas,59.4
2021-03-28,Arkansas,52.9
2021-04-04,Arkansas,63.1
2021-04-11,Arkansas,59.7
2021-04-18,Arkansas,54.1
2021-04-25,Arkansas,68.1
2021-05-02,Arkansas,66.0
2021-05-09,Arkansas,61.8
2021-05-16,Arkansas,71.5
2021-05-23,Arkansas,73.0
2021-05-30,Arkansas,68.5
2021-06-06,Arkansas,77.1
2021-06-13,Arkansas,81.3
2021-06-20,Arkansas,79.1
2021-06-27,Arkansas,80.7
2021-07-04,Arkansas,81.3
2021-07-11,Arkansas,79.5
2021-07-18,Arkansas,80.3
2021-07-25,Arkansas,86.3
2021-08-01,Arkansas,78.9
2021-08-08,Arkansas,85.0
2021-08-15,Arkansas,79.6
2021-08-22,Arkansas,84.9
2021-08-29,Arkansas,81.9
2021-09-05,Arkansas,77.9
2021-09-12,Arkansas,78.7
2021-09-19,Arkansas,71.2
2021-09-26,Arkansas,74.5
2021-10-03,Arkansas,72.2
2021-10-10,Arkansas,72.0
2021-10-17,Arkansas,63.4
2021-10-24,Arkansas,61.2
2021-10-31,Arkansas,48.8
2021-11-07,Arkansas,53.9
2021-11-14,Arkansas,53.5
2021-11-21,Arkansas,49.7
2021-11-28,Arkansas,55.7
2021-12-05,Arkansas,52.5
2021-12-12,Arkansas,55.7
2021-12-19,Arkansas,48.9
2021-12-26,Arkansas,61.9
2022-01-02,Arkansas,34.6
2022-01-09,Arkansas,45.2
2022-01-16,Arkansas,36.2
2022-01-23,Arkansas,36.4
2022-01-30,Arkansas,39.7
2022-02-06,Arkansas,43.6
2022-02-13,Arkansas,46.5
2022-02-20,Arkansas,41.6
2022-02-27,Arkansas,52.5
2022-03-06,Arkansas,46.2
2022-03-13,Arkansas,53.5
2022-03-20,Arkansas,53.1
2022-03-27,Arkansas,54.0
2022-04-03,Arkansas,56.6
2022-04-10,Arkansas,63.7
2022-04-17,Arkansas,61.6
2022-04-24,Arkansas,65.2
2022-05-01,Arkansas,66.2
2022-05-08,Arkansas,77.0
2022-05-15,Arkansas,76.1
2022-05-22,Arkansas,66.6
2022-05-29,Arkansas,75.4
2022-06-05,Arkansas,75.4
2022-06-12,Arkansas,84.9
2022-06-19,Arkansas,83.9
2022-06-26,Arkansas,79.9
2022-07-03,Arkansas,88.3
2022-07-10,Arkansas,84.9
2022-07-17,Arkansas,87.9
2022-07-24,Arkansas,86.4
2022-07-31,Arkansas,82.6
2022-08-07,Arkansas,81.9
2022-08-14,Arkansas,80.7
2022-08-21,Arkansas,79.3
2022-08-28,Arkansas,81.0
2022-09-04,Arkansas,77.0
2022-09-11,Arkansas,75.0
2022-09-18,Arkansas,80.3
2022-09-25,Arkansas,68.9
2022-10-02,Arkansas,68.2
2022-10-09,Arkansas,68.2
2022-10-16,Arkansas,57.5
2022-10-23,Arkansas,62.9
2022-10-30,Arkansas,63.8
2022-11-06,Arkansas,59.8
2022-11-13,Arkansas,38.5
2022-11-20,Arkansas,46.2
2022-11-27,Arkansas,49.1
2022-12-04,Arkansas,54.2
2022-12-11,Arkansas,45.9
2022-12-18,Arkansas,31.6
2022-12-25,Arkansas,44.2
2023-01-01,Arkansas,54.3
2023-01-08,Arkansas,47.1
2023-01-15,Arkansas,50.8
2023-01-22,Arkansas,40.7
2023-01-29,Arkansas,35.9
2023-02-05,Arkansas,48.7
2023-02-12,Arkansas,49.5
2023-02-19,Arkansas,55.1
2023-02-26,Arkansas,58.8
2023-03-05,Arkansas,54.8
2023-03-12,Arkansas,46.1
2023-03-19,Arkansas,54.3
2023-03-26,Arkansas,59.0
2023-04-02,Arkansas,61.9
2023-04-09,Arkansas,63.6
2023-04-16,Arkansas,62.8
2023-04-23,Arkansas,56.0
2023-04-30,Arkansas,62.8
2023-05-07,Arkansas,73.3
2023-05-14,Arkansas,74.1
2023-05-21,Arkansas,71.1
2023-05-28,Arkansas,77.1
2023-06-04,Arkansas,78.5
2023-06-11,Arkansas,76.8
2023-06-18,Arkansas,80.1
2023-06-25,Arkansas,84.2
2023-07-02,Arkansas,82.0
2023-07-09,Arkansas,79.0
2023-07-16,Arkansas,83.1
2023-07-23,Arkansas,84.7
2023-07-30,Arkansas,86.9
2023-08-06,Arkansas,81.1
2023-08-13,Arkansas,80.5
2023-08-20,Arkansas,88.5
2023-08-27,Arkansas,78.5
2023-09-03,Arkansas,80.8
2023-09-10,Arkansas,73.1
2023-09-17,Arkansas,75.3
2023-09-24,Arkansas,79.5
2023-10-01,Arkansas,72.3
2023-10-08,Arkansas,64.9
2023-10-15,Arkansas,62.5
2023-10-22,Arkansas,71.1
2023-10-29,Arkansas,48.3
2023-11-05,Arkansas,61.7
2023-11-12,Arkansas,55.9
2023-11-19,Arkansas,49.0
2023-11-26,Arkansas,46.5
2023-12-03,Arkansas,50.8
2023-12-10,Arkansas,47.2
2023-12-17,Arkansas,46.4
2023-12-24,Arkansas,44.0
2023-12-31,Arkansas,44.2
2020-01-12,California,42.8
2020-01-19,California,49.1
2020-01-26,California,50.5
2020-02-02,California,46.2
2020-02-09,California,52.3
2020-02-16,California,56.2
2020-02-23,California,60.2
2020-03-01,California,59.0
2020-03-08,California,59.0
2020-03-15,California,50.9
2020-03-22,California,53.8
2020-03-29,California,58.1
2020-04-05,California,54.9
2020-04-12,California,63.7
2020-04-19,California,67.6
2020-04-26,California,76.0
2020-05-03,California,75.3
2020-05-10,California,72.1
2020-05-17,California,70.7
2020-05-24,California,84.0
2020-05-31,California,80.2
2020-06-07,California,76.8
2020-06-14,California,80.4
2020-06-21,California,90.5
2020-06-28,California,81.7
2020-07-05,California,87.5
2020-07-12,California,88.6
2020-07-19,California,86.1
2020-07-26,California,89.8
2020-08-02,California,85.2
2020-08-09,California,90.6
